seed,stability_vs_seed0,avg_stability
1,,0.9389282238861805
2,0.934892763035779,0.9389282238861805
3,0.9110772913357971,0.9389282238861805
4,0.9496205099811152,0.9389282238861805
5,0.9601223311920302,0.9389282238861805
